"산불발생일","산불발생주소","산불1단계발령일시","산불2단계발령일시","산불3단계발령일시","산불4단계발령일시"
2022-02-15,경상북도 성주군 선남면,"2022-02-15 15:40",,,
2022-02-22,경상북도 의성군 의성읍,"2022-02-22 16:45",,,
2022-02-22,전북특별자치도 남원시 산내면,"2022-02-23 01:40",,,
2022-02-24,강원특별자치도 평창군 방림면,"2022-02-24 18:20",,,
2022-02-25,전라남도 구례군 간전면,"2022-02-25 17:30",,,
2022-02-26,경상북도 문경시 문경읍,"2022-02-26 16:50",,,
2022-02-28,경상남도 합천군 율곡면,,"2022-02-28 15:40","2022-02-28 17:30",
2022-03-04,경상북도 울진군 북면,,"2022-03-04 12:35","2022-03-04 14:10",
2022-04-05,경상북도 봉화군 봉화읍,"2022-04-05 14:31","2022-04-05 14:50","2022-04-05 19:00",
2022-04-09,충청남도 서산시 운산면,"2022-04-09 11:45","2022-04-09 13:00",,
2022-04-10,경상북도 군위군 삼국유사면,,"2022-04-10 14:40","2022-04-11 15:50",
2022-04-10,강원특별자치도 양구군 양구읍,"2022-04-10 16:30","2022-04-10 17:40","2022-04-10 21:00",
2022-04-12,경상북도 고령군 다산면,"2022-04-12 15:23",,,
2022-04-20,강원특별자치도 영월군 북면,"2022-04-20 15:45",,,
2022-04-22,강원특별자치도 양양군 현북면,"2022-04-22 14:40","2022-04-22 16:10",,
2022-05-28,경상북도 울진군 근남면,,"2022-05-28 16:30","2022-05-28 20:30",
2022-05-31,경상남도 밀양시 부북면,,"2022-05-31 11:00","2022-05-31 11:45",
2023-01-12,경상북도 성주군 가천면,"2023-01-12 15:30",,,
2023-02-28,경상북도 영천시 화남면,"2023-02-28 15:50",,,
2023-02-28,경상북도 예천군 풍양면,"2023-02-28 17:10","2023-02-28 18:20",,
2023-03-02,경상북도 김천시 개령면,"2023-03-02 17:00",,,
2023-03-03,경상북도 영양군 영양읍,"2023-03-03 16:20",,,
2023-03-03,전라남도 순천시 월등면,"2023-03-03 15:30","2023-03-03 16:30",,
2023-03-08,경상남도 합천군 용주면,,"2023-03-08 14:30","2023-03-08 17:30",
2023-03-11,경상남도 하동군 화개면,"2023-03-11 15:10","2023-03-11 15:50",,
2023-03-16,경상북도 상주시 외남면,,"2023-03-16 16:10",,
2023-03-18,강원특별자치도 평창군 진부면,"2023-03-18 18:30",,,
2023-03-18,전라남도 순천시 별량면,"2023-03-19 00:00",,,
2023-03-20,충청남도 서천군 한산면,"2023-03-20 14:50",,,
2023-03-21,경상북도 안동시 도산면,"2023-03-21 14:00",,,
2023-03-21,경상남도 산청군 생비량면,"2023-03-21 13:50",,,
2023-03-26,인천광역시 강화군 화도면,"2023-03-26 16:30",,,
2023-03-30,강원특별자치도 화천군 화천읍,"2023-03-30 14:05","2023-03-30 16:30",,
2023-03-30,충청북도 제천시 봉양읍,"2023-03-30 15:00",,,
2023-03-30,경기도 포천시 영북면,"2023-03-30 16:50",,,
2023-04-02,충청남도 홍성군 서부면,"2023-04-02 12:10","2023-04-02 12:40","2023-04-02 13:20",
2023-04-02,충청남도 당진시 대호지면,,"2023-04-02 19:00",,
2023-04-02,충청북도 옥천군 군북면,"2023-04-02 20:00",,,
2023-04-02,경상북도 군위군 소보면,"2023-04-02 15:00",,,
2023-04-02,서울특별시 종로구 부암동,"2023-04-02 14:00",,,
2023-04-02,충청남도 금산군 복수면,"2023-04-02 15:00","2023-04-02 19:00","2023-04-02 20:30",
2023-04-02,충청남도 보령시 청라면,"2023-04-02 15:30","2023-04-02 18:30",,
2023-04-03,전라남도 함평군 대동면,"2023-04-03 14:20","2023-04-03 15:10","2023-04-03 22:50",
2023-04-03,전라남도 순천시 송광면,"2023-04-03 14:15","2023-04-03 16:20","2023-04-04 05:00",
2023-04-03,경상북도 영주시 평은면,"2023-04-03 16:00","2023-04-03 16:40","2023-04-03 20:30",
2023-04-11,강원특별자치도 강릉시 난곡동,"2023-04-11 09:30","2023-04-11 10:00","2023-04-11 10:30",
